time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-26 00:00:00+00:00,0,0,1,1
2025-08-29 00:00:00+00:00,0,0,8,2
2025-08-30 00:00:00+00:00,1,1,5,1
2025-08-31 00:00:00+00:00,0,0,7,2
2025-09-01 00:00:00+00:00,0,0,2,2
2025-09-02 00:00:00+00:00,0,0,6,1
2025-09-04 00:00:00+00:00,0,0,1,1
2025-09-06 00:00:00+00:00,1,1,1,1
2025-09-08 00:00:00+00:00,0,0,4,2
2025-09-09 00:00:00+00:00,8,8,4,2
2025-09-10 00:00:00+00:00,1,1,0,0
2025-09-11 00:00:00+00:00,6,5,0,0
2025-09-12 00:00:00+00:00,5,5,0,0
2025-09-13 00:00:00+00:00,5,4,0,0
2025-09-14 00:00:00+00:00,5,5,0,0
2025-09-15 00:00:00+00:00,1,1,0,0
2025-09-16 00:00:00+00:00,5,5,6,1
2025-09-17 00:00:00+00:00,1,1,1,1
2025-09-18 00:00:00+00:00,6,4,1,1
2025-09-19 00:00:00+00:00,6,5,0,0
2025-09-20 00:00:00+00:00,6,6,0,0
2025-09-21 00:00:00+00:00,3,3,0,0
2025-09-22 00:00:00+00:00,4,4,0,0
2025-09-23 00:00:00+00:00,6,6,7,1
2025-09-24 00:00:00+00:00,2,2,0,0
2025-09-25 00:00:00+00:00,1,1,1,1
2025-09-26 00:00:00+00:00,1,1,0,0
2025-09-27 00:00:00+00:00,2,2,0,0
2025-09-28 00:00:00+00:00,1,1,4,2
2025-09-29 00:00:00+00:00,7,7,0,0
2025-09-30 00:00:00+00:00,5,5,0,0
2025-10-01 00:00:00+00:00,2,2,0,0
2025-10-02 00:00:00+00:00,1,1,0,0
2025-10-03 00:00:00+00:00,5,5,0,0
2025-10-04 00:00:00+00:00,3,3,3,1
2025-10-05 00:00:00+00:00,3,3,0,0
2025-10-06 00:00:00+00:00,6,6,0,0
2025-10-07 00:00:00+00:00,1,1,6,2
2025-10-08 00:00:00+00:00,3,3,21,2
2025-10-09 00:00:00+00:00,1,1,0,0
2025-10-10 00:00:00+00:00,1,1,0,0
2025-10-11 00:00:00+00:00,4,4,0,0
2025-10-12 00:00:00+00:00,5,5,0,0
2025-10-13 00:00:00+00:00,1,1,0,0
2025-10-14 00:00:00+00:00,19,4,0,0
2025-10-15 00:00:00+00:00,9,3,0,0
2025-10-16 00:00:00+00:00,15,4,0,0
